##file Institution ID
##header ID	Institution
## Please contact BLUEPRINT DCC if your institution is not listed, or you wish to modify the text
1	Radboud University Nijmegen (H.G. Stunnenberg)
2a	University College London (S. Beck)
2b	University College London (T. Enver)
3a	University of Cambridge (A. Ferguson-Smith)
3b	University of Cambridge (W. H.Ouwehand)
4	Friedrich Miescher Institute (D. Schübeler)
5	Christian Albrechts University of Kiel (R. Siebert)
6	National Cancer Research Centre Spain (A. Valencia)
7a	Institute of Molecular Oncology Foundation - European Institute of Oncology (P.G. Pelicci)
7b	Institute of Molecular Oncology Foundation - European Institute of Oncology (S. Minucci)
8	European Bioinformatics Institute (P. Flicek)
9a	Wellcome Trust Sanger Institute (M. Stratton)
9b	Wellcome Trust Sanger Institute (D. Adams)
9c	Wellcome Trust Sanger Institute (N. Soranzo)
10	Bellvitge Institute for Biomedical Research (M. Esteller)
11	Centro Nacional de Analysis Genómico (I. Gut)
12a	Max Planck Institute for Bioinformatics (T. Lengauer/C.Bock)
12b	Max Planck Institute for Molecular Genetics (H. Lehrach)
12c	Max Planck Institute for Molecular Genetics (M. Vingron)
12d	Max Planck Institute for Molecular Genetics, Dpt Vertebrate Genomics (M-L Yaspo)
13	University of Saarland (J. Walter)
14	Second University of Naples (L. Altucci)
15a	Centre for Genomic Regulation (X. Estivill)
15b	Centre for Genomic Regulation (R. Guigo)
15c	Centre for Genomic Regulation (T. Graf)
16a	Queen Mary, University of London (D. Leslie/V. Rakyan)
16b	Queen Mary, University of London (J. Fitzgibbon)
17	The Babraham Institute (W. Reik)
18	Cellzome AG (D. Simmons)
19	Diagenode SA (D. Allaer)
20	Olink Genomics (F. Dahl)
21	Genomatix Software GmbH (M. Seifert)
22	Oxford Nanopore Technologies Ltd (S. Willcocks)
23	Siena Biotech SpA (A. Caricasole)
24	Centre of Immunology of Marseille-Luminy (S. Spicuglia)
25	Institut d'Investigacions Biomèdique August Pi i Sunyer (E. Campo)
26	Weizmann Institute of Science (A. Tanay)
27	Erasmus University Medical Centre Rotterdam (F. Grosveld)
28	Universitaetsklinikum Ulm (B. Böhm)
29	University of Edinburgh (A. Bird)
30	Lund University (A. Lernmark)
31	University of Copenhagen (K. Helin)
32	Sapienza University of Rome (A. Mai)
33	Vivia Biotech S.L. (J. Ballesteros)
34	University of Geneva (M. Dermitzakis, S. Antonorakis)
35	University Medical Centre Groningen (E. Vellenga)
36	Neckar Hospital (Elizbeth Macintyre)
37	Epigenomics AG (R. Wasserkort)
38	University of Duisburg-Essen (R. Küppers)
39	University of Leipzig (M. Loffler)
40	Barcelona Supercomputing Center (D. Torrents)
41	Sigolis (J. Jarvius)
42	Eurice (V. Siegmund)
#001	Spanish National Cancer Research Centre (CNIO, Madrid)
#002	Barcelona Supercomputing Center (BSC-CNS, Madrid)
#003	EMBL-EBI (Hinxton)
