##file Chromosome Names for Reference Genome GRCh37
##header Key	Chromosome Name
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
X	X
Y	Y
MT	MT
c5_H2	c5_H2
c6_COX	c6_COX
c6_QBL	c6_QBL
NT_113870	NT_113870
NT_113871	NT_113871
NT_113872	NT_113872
NT_113874	NT_113874
NT_113878	NT_113878
NT_113880	NT_113880
NT_113881	NT_113881
NT_113884	NT_113884
NT_113885	NT_113885
NT_113886	NT_113886
NT_113888	NT_113888
NT_113889	NT_113889
NT_113890	NT_113890
NT_113898	NT_113898
NT_113899	NT_113899
NT_113901	NT_113901
NT_113902	NT_113902
NT_113903	NT_113903
NT_113906	NT_113906
NT_113908	NT_113908
NT_113909	NT_113909
NT_113910	NT_113910
NT_113911	NT_113911
NT_113912	NT_113912
NT_113915	NT_113915
NT_113916	NT_113916
NT_113917	NT_113917
NT_113923	NT_113923
NT_113924	NT_113924
NT_113925	NT_113925
NT_113926	NT_113926
NT_113927	NT_113927
NT_113929	NT_113929
NT_113930	NT_113930
NT_113931	NT_113931
NT_113932	NT_113932
NT_113933	NT_113933
NT_113934	NT_113934
NT_113935	NT_113935
NT_113936	NT_113936
NT_113937	NT_113937
NT_113939	NT_113939
NT_113943	NT_113943
NT_113944	NT_113944
NT_113946	NT_113946
NT_113949	NT_113949
NT_113951	NT_113951
NT_113953	NT_113953
NT_113954	NT_113954
NT_113956	NT_113956
NT_113957	NT_113957
NT_113958	NT_113958
NT_113960	NT_113960
NT_113961	NT_113961
NT_113962	NT_113962
NT_113963	NT_113963
NT_113964	NT_113964
NT_113965	NT_113965
NT_113966	NT_113966
HSCHR17_1	HSCHR17_1
HSCHR17_RANDOM_CTG2	HSCHR17_RANDOM_CTG2
HSCHR17_RANDOM_CTG3	HSCHR17_RANDOM_CTG3
HSCHR19_RANDOM_CTG2	HSCHR19_RANDOM_CTG2
HSCHR1_RANDOM_CTG12	HSCHR1_RANDOM_CTG12
HSCHR1_RANDOM_CTG5	HSCHR1_RANDOM_CTG5
HSCHR4_RANDOM_CTG2	HSCHR4_RANDOM_CTG2
HSCHR4_RANDOM_CTG3	HSCHR4_RANDOM_CTG3
HSCHR6_MHC_APD	HSCHR6_MHC_APD
HSCHR6_MHC_COX	HSCHR6_MHC_COX
HSCHR6_MHC_DBB	HSCHR6_MHC_DBB
HSCHR6_MHC_MANN	HSCHR6_MHC_MANN
HSCHR6_MHC_MCF	HSCHR6_MHC_MCF
HSCHR6_MHC_QBL	HSCHR6_MHC_QBL
HSCHR6_MHC_SSTO	HSCHR6_MHC_SSTO
HSCHR7_RANDOM_CTG1	HSCHR7_RANDOM_CTG1
HSCHR8_RANDOM_CTG1	HSCHR8_RANDOM_CTG1
HSCHR8_RANDOM_CTG4	HSCHR8_RANDOM_CTG4
HSCHR9_RANDOM_CTG2	HSCHR9_RANDOM_CTG2
HSCHR9_RANDOM_CTG4	HSCHR9_RANDOM_CTG4
HSCHR9_RANDOM_CTG5	HSCHR9_RANDOM_CTG5
HSCHRUN_RANDOM_CTG1	HSCHRUN_RANDOM_CTG1
HSCHRUN_RANDOM_CTG10	HSCHRUN_RANDOM_CTG10
HSCHRUN_RANDOM_CTG11	HSCHRUN_RANDOM_CTG11
HSCHRUN_RANDOM_CTG13	HSCHRUN_RANDOM_CTG13
HSCHRUN_RANDOM_CTG14	HSCHRUN_RANDOM_CTG14
HSCHRUN_RANDOM_CTG15	HSCHRUN_RANDOM_CTG15
HSCHRUN_RANDOM_CTG16	HSCHRUN_RANDOM_CTG16
HSCHRUN_RANDOM_CTG17	HSCHRUN_RANDOM_CTG17
HSCHRUN_RANDOM_CTG2	HSCHRUN_RANDOM_CTG2
HSCHRUN_RANDOM_CTG20	HSCHRUN_RANDOM_CTG20
HSCHRUN_RANDOM_CTG21	HSCHRUN_RANDOM_CTG21
HSCHRUN_RANDOM_CTG22	HSCHRUN_RANDOM_CTG22
HSCHRUN_RANDOM_CTG23	HSCHRUN_RANDOM_CTG23
HSCHRUN_RANDOM_CTG26	HSCHRUN_RANDOM_CTG26
HSCHRUN_RANDOM_CTG29	HSCHRUN_RANDOM_CTG29
HSCHRUN_RANDOM_CTG3	HSCHRUN_RANDOM_CTG3
HSCHRUN_RANDOM_CTG30	HSCHRUN_RANDOM_CTG30
HSCHRUN_RANDOM_CTG31	HSCHRUN_RANDOM_CTG31
HSCHRUN_RANDOM_CTG32	HSCHRUN_RANDOM_CTG32
HSCHRUN_RANDOM_CTG33	HSCHRUN_RANDOM_CTG33
HSCHRUN_RANDOM_CTG34	HSCHRUN_RANDOM_CTG34
HSCHRUN_RANDOM_CTG35	HSCHRUN_RANDOM_CTG35
HSCHRUN_RANDOM_CTG36	HSCHRUN_RANDOM_CTG36
HSCHRUN_RANDOM_CTG4	HSCHRUN_RANDOM_CTG4
HSCHRUN_RANDOM_CTG40	HSCHRUN_RANDOM_CTG40
HSCHRUN_RANDOM_CTG5	HSCHRUN_RANDOM_CTG5
HSCHRUN_RANDOM_CTG6	HSCHRUN_RANDOM_CTG6
HSCHRUN_RANDOM_CTG9	HSCHRUN_RANDOM_CTG9
HSCHR4_1	HSCHR4_1
